iter	Passed	Remaining
825	164062	34560
826	164240	34357
827	164430	34157
828	164638	33960
829	164846	33763
830	165042	33564
831	165228	33363
832	165422	33164
833	165609	32963
834	165811	32765
835	166009	32566
836	166176	32361
837	166376	32163
838	166572	31964
839	166772	31766
840	166983	31569
841	167167	31368
842	167364	31169
843	167568	30972
844	167771	30774
845	167984	30578
846	168171	30378
847	168353	30176
848	168548	29977
849	168736	29777
850	168950	29581
851	169137	29380
852	169340	29182
853	169526	28982
854	169713	28781
855	169920	28584
856	170107	28384
857	170294	28183
858	170495	27985
859	170682	27785
860	170884	27587
861	171072	27387
862	171304	27194
863	171526	26999
864	171741	26803
865	171957	26607
866	172141	26406
867	172340	26208
868	172545	26010
869	172743	25812
870	172945	25614
871	173124	25412
872	173316	25213
873	173506	25013
874	173719	24817
875	174106	24645
876	174570	24483
877	175035	24321
878	175353	24138
879	175736	23964
880	176237	23805
881	176765	23648
882	177016	23455
883	177296	23265
884	177536	23069
885	177763	22872
886	177995	22675
887	178279	22485
888	178500	22287
889	178745	22092
890	178980	21895
891	179199	21696
892	179437	21500
893	179693	21305
894	179917	21107
895	180107	20905
896	180297	20703
897	180493	20501
898	180681	20299
899	180876	20097
900	181071	19895
901	181270	19694
902	181476	19494
903	181677	19293
904	181882	19092
905	182076	18890
906	182267	18688
907	182463	18487
908	182666	18286
909	182868	18085
910	183045	17882
911	183245	17681
912	183435	17479
913	183641	17279
914	183848	17078
915	184044	16877
916	184232	16675
917	184442	16475
918	184630	16273
919	184833	16072
920	185031	15871
921	185215	15669
922	185408	15467
923	185613	15266
924	185817	15066
925	186012	14864
926	186180	14661
927	186364	14459
928	186558	14257
929	186753	14056
930	186953	13855
931	187134	13653
932	187330	13452
933	187527	13251
934	187728	13050
935	187928	12849
936	188105	12647
937	188293	12445
938	188488	12244
939	188685	12043
940	188890	11843
941	189059	11640
942	189243	11438
943	189453	11238
944	189668	11038
945	189871	10838
946	190040	10635
947	190230	10434
948	190412	10232
949	190603	10031
950	190799	9830
951	190999	9630
952	191172	9428
953	191370	9227
954	191572	9026
955	191771	8826
956	191973	8625
957	192151	8424
958	192354	8223
959	192560	8023
960	192757	7822
961	192963	7622
962	193135	7420
963	193331	7219
964	193516	7018
965	193716	6818
966	193924	6617
967	194106	6416
968	194293	6215
969	194485	6015
970	194679	5814
971	194883	5613
972	195067	5412
973	195256	5212
974	195445	5011
975	195644	4810
976	195850	4610
977	196037	4409
978	196237	4209
979	196435	4008
980	196637	3808
981	196842	3608
982	197015	3407
983	197208	3206
984	197407	3006
985	197600	2805
986	197814	2605
987	198001	2404
988	198184	2204
989	198383	2003
990	198580	1803
991	198797	1603
992	198985	1402
993	199168	1202
994	199364	1001
995	199563	801
996	199756	601
997	199965	400
998	200136	200
999	200335	0
